연구,고기,목재,석탄,철광,철강재,시간
반격방어II-2,47000,47000,9400,23300,560,0d 00:18:45
반격방어II-3,33000,33000,6700,1600,400,0d 00:12:30
정밀사격II-0,0,0,0,0,0,0
정밀사격II-1,81000,81000,16000,4000,960,0d 00:30:00
정밀사격II-2,110000,110000,22000,5600,1300,0d 00:45:00
정밀사격II-3,240000,240000,48000,12000,2800,0d 02:00:00
신속돌격II-0,0,0,0,0,0,0
신속돌격II-1,81000,81000,16000,4000,960,0d 00:30:00
신속돌격II-2,110000,110000,22000,5600,1300,0d 00:45:00
신속돌격II-3,240000,240000,48000,12000,2800,0d 02:00:00
방어라인업II-0,0,0,0,0,0,0
방어라인업II-1,100000,100000,20000,5000,1200,0d 00:37:30
방어라인업II-2,140000,140000,28000,7000,1600,0d 00:56:15
방어라인업II-3,300000,300000,60000,15000,3600,0d 02:30:00
경계대형II-0,0,0,0,0,0,0
경계대형II-1,54000,54000,10000,2700,640,0d 00:20:00
경계대형II-2,75000,75000,15000,3700,890,0d 00:30:00
경계대형II-3,160000,160000,32000,8100,1900,0d 01:20:00
진지방어II-0,0,0,0,0,0,0
진지방어II-1,54000,54000,10000,2700,640,0d 00:20:00
진지방어II-2,75000,75000,15000,3700,890,0d 00:30:00
진지방어II-3,160000,160000,32000,8100,1900,0d 01:20:00
방어특훈II-0,0,0,0,0,0,0
방어특훈II-1,87000,87000,17000,4300,1000,0d 00:32:30
방어특훈II-2,120000,120000,24000,6100,1400,0d 00:48:45
방어특훈II-3,260000,260000,52000,13000,3100,0d 02:10:00
생존특훈II-0,0,0,0,0,0,0
생존특훈II-1,87000,87000,17000,4300,1000,0d 00:32:30
생존특훈II-2,120000,120000,24000,6100,1400,0d 00:48:45
생존특훈II-3,260000,260000,52000,13000,3100,0d 02:10:00
돌격특훈II-0,0,0,0,0,0,0
돌격특훈II-1,87000,87000,17000,4300,1000,0d 00:32:30
돌격특훈II-2,120000,120000,24000,6100,1400,0d 00:48:45
돌격특훈II-3,260000,260000,52000,13000,3100,0d 02:10:00
편성확장II-0,0,0,0,0,0,0
편성확장II-1,94000,94000,18000,4700,1100,0d 00:40:00
편성확장II-2,130000,130000,26000,6600,1500,0d 01:00:00
편성확장II-3,280000,280000,56000,14000,3300,0d 02:40:00
피의전투II-0,0,0,0,0,0,0
피의전투II-1,33000,33000,6700,1600,400,0d 00:12:30
피의전투II-2,47000,47000,6700,2300,560,0d 00:18:45
피의전투II-3,100000,100000,20000,5000,1200,0d 00:50:00
정점저격II-0,0,0,0,0,0,0
정점저격II-1,81000,81000,16000,4000,960,0d 00:30:00
정점저격II-2,110000,110000,22000,5600,1300,0d 00:45:00
정점저격II-3,240000,240000,48000,12000,2800,0d 02:00:00
창 개조II-0,0,0,0,0,0,0
창 개조II-1,81000,81000,16000,4000,960,0d 00:30:00
창 개조II-2,110000,110000,22000,5600,1300,0d 00:45:00
창 개조II-3,240000,240000,48000,12000,2800,0d 02:00:00
방패개조II-0,0,0,0,0,0,0
방패개조II-1,100000,100000,20000,5000,1200,0d 00:37:30
방패개조II-2,140000,140000,28000,7000,1600,0d 00:56:15
방패개조II-3,300000,300000,60000,15000,3600,0d 02:30:00
궁병갑옷II-0,0,0,0,0,0,0
궁병갑옷II-1,54000,54000,10000,2700,640,0d 00:20:00
궁병갑옷II-2,75000,75000,15000,3700,890,0d 00:30:00
궁병갑옷II-3,160000,160000,32000,8100,1900,0d 01:20:00
창병방어II-0,0,0,0,0,0,0
창병방어II-1,54000,54000,10000,2700,640,0d 00:20:00
창병방어II-2,75000,75000,15000,3700,890,0d 00:30:00
창병방어II-3,160000,160000,32000,8100,1900,0d 01:20:00
무기특훈III-0,0,0,0,0,0,0
무기특훈III-1,280000,280000,56000,14000,3100,0d 02:10:00
무기특훈III-2,360000,360000,73000,18000,4000,0d 02:36:00
무기특훈III-3,470000,470000,95000,23000,5300,0d 04:20:00
무기특훈III-4,1100000,1100000,220000,56000,12000,0d 13:00:00
반격방어III-0,0,0,0,0,0,0
반격방어III-1,100000,100000,21000,5400,1200,0d 00:50:00
반격방어III-2,140000,140000,28000,7000,1500,0d 01:00:00
반격방어III-3,180000,180000,36000,9100,2000,0d 01:40:00
반격방어III-4,430000,430000,86000,21000,4800,0d 05:00:00
정밀사격III-0,0,0,0,0,0,0
정밀사격III-1,250000,250000,51000,12000,2800,0d 02:00:00
정밀사격III-2,330000,330000,67000,22000,4800,0d 02:24:00
정밀사격III-3,440000,440000,88000,22000,4800,0d 04:00:00
정밀사격III-4,1000000,1000000,200000,51000,11000,0d 12:00:00
신속돌격III-0,0,0,0,0,0,0
신속돌격III-1,250000,250000,51000,12000,2800,0d 02:00:00
신속돌격III-2,330000,330000,67000,22000,4800,0d 02:24:00
신속돌격III-3,440000,440000,88000,22000,4800,0d 04:00:00
신속돌격III-4,1000000,1000000,200000,51000,11000,0d 12:00:00
방어라인업III-0,0,0,0,0,0,0
방어라인업III-1,320000,320000,64000,16000,3600,0d 02:30:00
방어라인업III-2,420000,420000,84000,21000,4600,0d 03:00:00
방어라인업III-3,550000,550000,110000,27000,6100,0d 05:00:00
방어라인업III-4,1200000,1200000,250000,64000,14000,0d 15:00:00
경계대형III-0,0,0,0,0,0,0
경계대형III-1,170000,170000,34000,8600,1900,0d 01:20:00
경계대형III-2,220000,220000,44000,11000,2400,0d 01:36:00
경계대형III-3,290000,290000,58000,14000,3200,0d 02:40:00
경계대형III-4,690000,690000,130000,34000,7600,0d 08:00:00
진지방어III-0,0,0,0,0,0,0
진지방어III-1,170000,170000,34000,8600,1900,0d 01:20:00
진지방어III-2,220000,220000,44000,11000,2400,0d 01:36:00
진지방어III-3,290000,290000,58000,14000,3200,0d 02:40:00
진지방어III-4,690000,690000,130000,34000,7600,0d 08:00:00
방어특훈III-0,0,0,0,0,0,0
방어특훈III-1,280000,280000,56000,14000,3100,0d 02:10:00
방어특훈III-2,360000,360000,73000,18000,4000,0d 02:36:00
방어특훈III-3,470000,470000,95000,23000,5300,0d 04:20:00
방어특훈III-4,1100000,1100000,220000,56000,12000,0d 13:00:00
생존특훈III-0,0,0,0,0,0,0
생존특훈III-1,280000,280000,56000,14000,3100,0d 02:10:00
생존특훈III-2,360000,360000,73000,18000,4000,0d 02:36:00
생존특훈III-3,470000,470000,95000,23000,5300,0d 04:20:00
생존특훈III-4,1100000,1100000,220000,56000,12000,0d 13:00:00
돌격특훈III-0,0,0,0,0,0,0
돌격특훈III-1,280000,280000,56000,14000,3100,0d 02:10:00
돌격특훈III-2,360000,360000,73000,18000,4000,0d 02:36:00
돌격특훈III-3,470000,470000,95000,23000,5300,0d 04:20:00
돌격특훈III-4,1100000,1100000,220000,56000,12000,0d 13:00:00
편성확장III-0,0,0,0,0,0,0
편성확장III-1,300000,300000,60000,15000,3300,0d 02:40:00
편성확장III-2,390000,390000,78000,19000,4300,0d 03:12:00
편성확장III-3,510000,510000,100000,25000,5700,0d 05:20:00
편성확장III-4,1200000,1200000,240000,60000,13000,0d 16:00:00
피의전투III-0,0,0,0,0,0,0
피의전투III-1,100000,100000,21000,5400,1200,0d 00:50:00
피의전투III-2,140000,140000,28000,7000,1500,0d 01:00:00
피의전투III-3,180000,180000,36000,9100,2000,0d 01:40:00
피의전투III-4,430000,430000,86000,21000,4800,0d 05:00:00
정점저격III-0,0,0,0,0,0,0
정점저격III-1,250000,250000,51000,12000,2800,0d 02:00:00
정점저격III-2,330000,330000,67000,16000,3700,0d 02:24:00
정점저격III-3,440000,440000,88000,22000,4800,0d 04:00:00
정점저격III-4,1000000,1000000,200000,51000,11000,0d 12:00:00
창 개조III-0,0,0,0,0,0,0
창 개조III-1,250000,250000,51000,12000,2800,0d 02:00:00
창 개조III-2,330000,330000,67000,16000,3700,0d 02:24:00
창 개조III-3,440000,440000,88000,22000,4800,0d 04:00:00
창 개조III-4,1000000,1000000,200000,51000,11000,0d 12:00:00
방패개조III-0,0,0,0,0,0,0
방패개조III-1,320000,320000,64000,16000,3600,0d 02:30:00
방패개조III-2,420000,420000,84000,21000,4600,0d 03:00:00
방패개조III-3,550000,550000,110000,27000,6100,0d 05:00:00
방패개조III-4,1200000,1200000,250000,64000,14000,0d 15:00:00
궁병갑옷III-0,0,0,0,0,0,0
궁병갑옷III-1,170000,170000,34000,8600,1900,0d 01:20:00
궁병갑옷III-2,220000,220000,44000,11000,2400,0d 01:36:00
궁병갑옷III-3,290000,290000,58000,14000,3200,0d 02:40:00
궁병갑옷III-4,690000,690000,130000,34000,7600,0d 08:00:00
창병방어III-0,0,0,0,0,0,0
창병방어III-1,170000,170000,34000,8600,1900,0d 01:20:00
창병방어III-2,220000,220000,44000,11000,2400,0d 01:36:00
창병방어III-3,290000,290000,58000,14000,3200,0d 02:40:00
창병방어III-4,690000,690000,130000,34000,7600,0d 08:00:00
무기특훈IV-0,0,0,0,0,0,0
무기특훈IV-1,800000,800000,160000,40000,10000,0d 14:26:40
무기특훈IV-2,960000,960000,190000,48000,12000,0d 18:46:40
무기특훈IV-3,1100000,1100000,220000,56000,14000,1d 04:53:20
무기특훈IV-4,1400000,1400000,220000,56000,14000,1d 19:20:00
무기특훈IV-5,2900000,2900000,590000,140000,38000,4d 12:20:00
반격방어IV-0,0,0,0,0,0,0
반격방어IV-1,310000,310000,62000,15000,4000,0d 05:33:20
반격방어IV-2,370000,370000,74000,18000,4800,0d 07:13:20
반격방어IV-3,430000,430000,86000,21000,5600,0d 11:06:40
반격방어IV-4,550000,550000,110000,27000,7200,0d 16:40:00
반격방어IV-5,1100000,1100000,220000,57000,14000,1d 17:40:00
정밀사격IV-0,0,0,0,0,0,0
정밀사격IV-1,740000,740000,140000,37000,9600,0d 13:20:00
정밀사격IV-2,890000,890000,170000,44000,11000,0d 17:20:00
정밀사격IV-3,1000000,1000000,200000,52000,13000,1d 02:40:00
정밀사격IV-4,1300000,1300000,260000,67000,17000,1d 16:00:00
정밀사격IV-5,2700000,2700000,550000,130000,35000,4d 04:00:00
신속돌격IV-0,0,0,0,0,0,0
신속돌격IV-1,740000,740000,140000,37000,9600,0d 13:20:00
신속돌격IV-2,890000,890000,170000,44000,11000,0d 17:20:00
신속돌격IV-3,1000000,1000000,200000,52000,13000,1d 02:40:00
신속돌격IV-4,1300000,1300000,260000,67000,17000,1d 16:00:00
신속돌격IV-5,2700000,2700000,550000,130000,35000,4d 04:00:00
방어라인업IV-0,0,0,0,0,0,0
방어라인업IV-1,930000,930000,180000,46000,12000,0d 16:40:00
방어라인업IV-2,1100000,1100000,220000,55000,14000,0d 21:40:00
방어라인업IV-3,1300000,1300000,260000,65000,16000,1d 09:20:00
방어라인업IV-4,1600000,1600000,330000,83000,21000,2d 02:00:00
방어라인업IV-5,3400000,3400000,680000,170000,44000,5d 05:00:00
경계대형IV-0,0,0,0,0,0,0
경계대형IV-1,490000,490000,99000,24000,6400,0d 08:53:20
경계대형IV-2,590000,590000,110000,29000,7600,0d 11:33:20
경계대형IV-3,690000,690000,130000,34000,8900,0d 17:46:40
경계대형IV-4,890000,890000,170000,44000,11000,1d 02:40:00
경계대형IV-5,1800000,1800000,360000,91000,23000,2d 18:48:00
진지방어IV-0,0,0,0,0,0,0
진지방어IV-1,490000,490000,99000,24000,6400,0d 08:53:20
진지방어IV-2,590000,590000,110000,29000,7600,0d 11:33:20
진지방어IV-3,690000,690000,130000,34000,8900,0d 17:46:40
진지방어IV-4,890000,890000,170000,44000,11000,1d 02:40:00
진지방어IV-5,1800000,1800000,360000,91000,23000,2d 18:48:00
방어특훈IV-0,0,0,0,0,0,0
방어특훈IV-1,800000,800000,160000,40000,10000,0d 14:26:40
방어특훈IV-2,960000,960000,190000,48000,12000,0d 18:46:40
방어특훈IV-3,1100000,1100000,220000,56000,14000,1d 04:53:20
방어특훈IV-4,1400000,1400000,220000,56000,14000,1d 19:20:00
방어특훈IV-5,2900000,2900000,590000,140000,38000,4d 12:20:00
생존특훈IV-0,0,0,0,0,0,0
생존특훈IV-1,800000,800000,160000,40000,10000,0d 14:26:40
생존특훈IV-2,960000,960000,190000,48000,12000,0d 18:46:40
생존특훈IV-3,1100000,1100000,220000,56000,14000,1d 04:53:20
생존특훈IV-4,1400000,1400000,290000,72000,18000,1d 19:20:00
생존특훈IV-5,2900000,2900000,590000,140000,38000,4d 12:20:00
돌격특훈IV-0,0,0,0,0,0,0
돌격특훈IV-1,800000,800000,160000,40000,10000,0d 14:26:40
돌격특훈IV-2,960000,960000,190000,48000,12000,0d 18:46:40
돌격특훈IV-3,1100000,1100000,220000,56000,14000,1d 04:53:20
돌격특훈IV-4,1400000,1400000,290000,72000,18000,1d 19:20:00
돌격특훈IV-5,2900000,2900000,590000,140000,38000,4d 12:20:00
편성확장IV-0,0,0,0,0,0,0
편성확장IV-1,860000,860000,170000,43000,11000,0d 17:46:40
편성확장IV-2,1000000,1000000,200000,52000,13000,0d 23:06:40
편성확장IV-3,1200000,1200000,240000,60000,15000,1d 11:33:20
편성확장IV-4,1500000,1500000,310000,78000,20000,2d 05:20:00
편성확장IV-5,3200000,3200000,640000,160000,41000,5d 13:20:00
피의전투IV-0,0,0,0,0,0,0
피의전투IV-1,550000,550000,110000,27000,16000,1d 10:43:20
피의전투IV-2,550000,550000,110000,27000,16000,1d 10:43:20
피의전투IV-3,550000,550000,110000,27000,16000,1d 14:11:40
피의전투IV-4,660000,660000,130000,33000,19000,2d 12:45:50
피의전투IV-5,770000,770000,150000,38000,22000,3d 00:55:00
피의전투IV-6,1500000,1500000,300000,76000,44000,7d 05:36:40
정점저격IV-0,0,0,0,0,0,0
정점저격IV-1,740000,740000,140000,37000,9600,0d 13:20:00
정점저격IV-2,890000,890000,170000,44000,11000,0d 17:20:00
정점저격IV-3,1000000,1000000,200000,52000,13000,1d 02:40:00
정점저격IV-4,1300000,1300000,260000,67000,17000,1d 16:00:00
정점저격IV-5,2700000,2700000,550000,130000,35000,4d 04:00:00
창 개조IV-0,0,0,0,0,0,0
창 개조IV-1,740000,740000,140000,37000,9600,0d 13:20:00  
창 개조IV-2,890000,890000,170000,44000,11000,0d 17:20:00  
창 개조IV-3,1000000,1000000,200000,52000,13000,1d 02:40:00  
창 개조IV-4,1300000,1300000,260000,67000,17000,1d 16:00:00  
창 개조IV-5,2700000,2700000,550000,130000,35000,4d 04:00:00
방패개조IV-0,0,0,0,0,0,0
방패개조IV-1,930000,930000,180000,46000,12000,0d 16:40:00  
방패개조IV-2,1100000,1100000,220000,55000,14000,0d 21:40:00  
방패개조IV-3,1300000,1300000,260000,65000,16000,1d 09:20:00  
방패개조IV-4,1600000,1600000,330000,83000,21000,2d 02:00:00  
방패개조IV-5,3400000,3400000,680000,170000,44000,5d 05:00:00
궁병갑옷IV-0,0,0,0,0,0,0
궁병갑옷IV-1,490000,490000,99000,24000,6400,0d 08:53:20  
궁병갑옷IV-2,590000,590000,110000,29000,7600,0d 11:33:20  
궁병갑옷IV-3,690000,690000,130000,34000,8900,0d 17:46:40  
궁병갑옷IV-4,890000,890000,170000,44000,11000,1d 02:40:00  
궁병갑옷IV-5,1800000,1800000,360000,91000,23000,2d 18:40:00
창병방어IV-0,0,0,0,0,0,0
창병방어IV-1,490000,490000,99000,24000,6400,0d 08:53:20  
창병방어IV-2,590000,590000,110000,29000,7600,0d 11:33:20  
창병방어IV-3,690000,690000,130000,34000,8900,0d 17:46:40  
창병방어IV-4,890000,890000,170000,44000,11000,1d 02:40:00  
창병방어IV-5,1800000,1800000,360000,91000,23000,2d 18:40:00
무기특훈V-0,0,0,0,0,0,0
무기특훈V-1,1400000,1400000,280000,71000,41000,3d 18:16:40
무기특훈V-2,1400000,1400000,280000,71000,41000,3d 18:16:40
무기특훈V-3,1400000,1400000,280000,71000,41000,4d 03:18:20
무기특훈V-4,1700000,1700000,340000,86000,49000,6d 13:59:10
무기특훈V-5,2000000,2000000,400000,100000,58000,7d 21:35:00
무기특훈V-6,3900000,3900000,790000,190000,110000,18d 19:23:20
반격방어V-0,0,0,0,0,0,0
반격방어V-1,550000,550000,110000,27000,16000,1d 10:43:20
반격방어V-2,550000,550000,110000,27000,16000,1d 10:43:20
반격방어V-3,550000,550000,110000,27000,16000,1d 14:11:40
반격방어V-4,660000,660000,130000,33000,19000,2d 12:45:50
반격방어V-5,770000,770000,150000,38000,22000,3d 00:55:00
반격방어V-6,1500000,1500000,300000,76000,44000,7d 05:36:40
정밀사격V-0,0,0,0,0,0,0
정밀사격V-1,1300000,1300000,260000,66000,38000,3d 11:20:00
정밀사격V-2,1300000,1300000,260000,66000,38000,3d 11:20:00
정밀사격V-3,1300000,1300000,260000,66000,38000,3d 19:40:00
정밀사격V-4,1500000,1500000,310000,79000,46000,6d 01:50:00
정밀사격V-5,1800000,1800000,370000,92000,53000,7d 07:00:00
정밀사격V-6,3600000,3600000,730000,180000,100000,17d 08:40:00
신속돌격V-0,0,0,0,0,0,0
신속돌격V-1,1300000,1300000,260000,66000,38000,3d 11:20:00
신속돌격V-2,1300000,1300000,260000,66000,38000,3d 11:20:00
신속돌격V-3,1300000,1300000,260000,66000,38000,3d 19:40:00
신속돌격V-4,1500000,1500000,310000,79000,46000,6d 01:50:00
신속돌격V-5,1800000,1800000,370000,92000,53000,7d 07:00:00
신속돌격V-6,3600000,3600000,730000,180000,100000,17d 08:40:00
방어라인업V-0,0,0,0,0,0,0
방어라인업V-1,1600000,1600000,330000,83000,48000,4d 08:10:00
방어라인업V-2,1600000,1600000,330000,83000,48000,4d 08:10:00
방어라인업V-3,1600000,1600000,330000,83000,48000,4d 08:10:00
방어라인업V-4,1900000,1900000,390000,99000,57000,7d 14:17:30
방어라인업V-5,2300000,2300000,460000,110000,67000,9d 02:45:00
방어라인업V-6,4500000,4500000,910000,220000,130000,21d 16:50:00
경계대형V-0,0,0,0,0,0,0
경계대형V-1,880000,880000,170000,44000,25000,2d 07:33:20
경계대형V-2,880000,880000,170000,44000,25000,2d 07:33:20
경계대형V-3,880000,880000,170000,44000,25000,2d 13:06:40
경계대형V-4,1000000,1000000,210000,53000,30000,4d 01:13:20
경계대형V-5,1200000,1200000,240000,61000,35000,4d 20:40:00
경계대형V-6,2400000,2400000,480000,120000,70000,11d 13:46:40
진지방어V-0,0,0,0,0,0,0
진지방어V-1,880000,880000,170000,44000,25000,2d 07:33:20
진지방어V-2,880000,880000,170000,44000,25000,2d 07:33:20
진지방어V-3,880000,880000,170000,44000,25000,2d 13:06:40
진지방어V-4,1000000,1000000,210000,53000,30000,4d 01:13:20
진지방어V-5,1200000,1200000,240000,61000,35000,4d 20:40:00
진지방어V-6,2400000,2400000,480000,120000,70000,11d 13:46:40
방어특훈V-0,0,0,0,0,0,0
방어특훈V-1,1400000,1400000,280000,71000,41000,3d 18:16:40
방어특훈V-2,1400000,1400000,280000,71000,41000,3d 18:16:40
방어특훈V-3,1400000,1400000,280000,71000,41000,4d 03:18:20
방어특훈V-4,1700000,1700000,340000,86000,49000,6d 13:59:10
방어특훈V-5,2000000,2000000,400000,100000,58000,7d 21:35:00
방어특훈V-6,3900000,3900000,790000,190000,110000,18d 19:23:20
생존특훈V-0,0,0,0,0,0,0
생존특훈V-1,1400000,1400000,280000,71000,41000,3d 18:16:40
생존특훈V-2,1400000,1400000,280000,71000,41000,3d 18:16:40
생존특훈V-3,1400000,1400000,280000,71000,41000,4d 03:18:20
생존특훈V-4,1700000,1700000,340000,86000,49000,6d 13:59:10
생존특훈V-5,2000000,2000000,400000,100000,58000,7d 21:35:00
생존특훈V-6,3900000,3900000,790000,190000,110000,18d 19:23:20
돌격특훈V-0,0,0,0,0,0,0
돌격특훈V-1,1400000,1400000,280000,71000,41000,3d 18:16:40
돌격특훈V-2,1400000,1400000,280000,71000,41000,3d 18:16:40
돌격특훈V-3,1400000,1400000,280000,71000,41000,4d 03:18:20
돌격특훈V-4,1700000,1700000,340000,86000,49000,6d 13:59:10
돌격특훈V-5,2000000,2000000,400000,100000,58000,7d 21:35:00
돌격특훈V-6,3900000,3900000,790000,190000,110000,18d 19:23:20
편성확장V-0,0,0,0,0,0,0
편성확장V-1,1500000,1500000,300000,77000,44000,4d 15:06:40
편성확장V-2,1500000,1500000,300000,77000,44000,4d 15:06:40
편성확장V-3,1500000,1500000,300000,77000,44000,5d 02:13:20
편성확장V-4,1500000,1500000,300000,77000,44000,5d 02:13:20
편성확장V-5,2100000,2100000,430000,100000,62000,9d 17:20:00
편성확장V-6,4200000,4200000,850000,210000,120000,23d 03:33:20
피의전투V-0,0,0,0,0,0,0
피의전투V-1,550000,550000,110000,27000,16000,1d 10:43:20  
피의전투V-2,550000,550000,110000,27000,16000,1d 10:43:20  
피의전투V-3,550000,550000,110000,27000,16000,1d 14:11:40  
피의전투V-4,660000,660000,130000,33000,19000,2d 12:45:50  
피의전투V-5,770000,770000,150000,38000,22000,3d 00:55:00  
피의전투V-6,1500000,1500000,300000,76000,44000,7d 05:36:40
정점저격V-0,0,0,0,0,0,0
정점저격V-1,1300000,1300000,260000,66000,38000,3d 11:20:00  
정점저격V-2,1300000,1300000,260000,66000,38000,3d 11:20:00  
정점저격V-3,1300000,1300000,260000,66000,38000,3d 19:40:00  
정점저격V-4,1500000,1500000,310000,92000,53000,6d 01:50:00  
정점저격V-5,1800000,1800000,370000,92000,53000,7d 07:00:00  
정점저격V-6,3600000,3600000,730000,180000,100000,17d 08:40:00
창 개조V-0,0,0,0,0,0,0
창 개조V-1,1300000,1300000,260000,66000,38000,3d 11:20:00  
창 개조V-2,1300000,1300000,260000,66000,38000,3d 11:20:00  
창 개조V-3,1300000,1300000,260000,66000,38000,3d 19:40:00  
창 개조V-4,1500000,1500000,310000,92000,53000,6d 01:50:00  
창 개조V-5,1800000,1800000,370000,92000,53000,7d 07:00:00  
창 개조V-6,3600000,3600000,730000,180000,100000,17d 08:40:00
방패개조V-0,0,0,0,0,0,0
방패개조V-1,1600000,1600000,330000,83000,48000,4d 08:10:00  
방패개조V-2,1600000,1600000,330000,83000,48000,4d 08:10:00  
방패개조V-3,1600000,1600000,330000,83000,48000,4d 08:10:00  
방패개조V-4,1900000,1900000,390000,99000,57000,7d 14:17:30  
방패개조V-5,2300000,2300000,460000,110000,67000,9d 02:45:00  
방패개조V-6,4500000,4500000,910000,220000,130000,21d 16:50:00
궁병갑옷V-0,0,0,0,0,0,0
궁병갑옷V-1,880000,880000,170000,44000,25000,2d 07:33:20  
궁병갑옷V-2,880000,880000,170000,44000,25000,2d 07:33:20  
궁병갑옷V-3,880000,880000,170000,44000,25000,2d 13:06:40  
궁병갑옷V-4,1000000,1000000,210000,53000,30000,4d 01:13:20  
궁병갑옷V-5,1200000,1200000,240000,61000,35000,4d 20:40:00  
궁병갑옷V-6,2400000,2400000,480000,120000,70000,11d 13:46:40
창병방어V-0,0,0,0,0,0,0
창병방어V-1,880000,880000,170000,44000,25000,2d 07:33:20  
창병방어V-2,880000,880000,170000,44000,25000,2d 07:33:20  
창병방어V-3,880000,880000,170000,44000,25000,2d 13:06:40  
창병방어V-4,1000000,1000000,210000,53000,30000,4d 01:13:20  
창병방어V-5,1200000,1200000,240000,61000,35000,4d 20:40:00  
창병방어V-6,2400000,2400000,480000,120000,70000,11d 13:46:40
무기특훈VI-0,0,0,0,0,0,0
무기특훈VI-1,5000000,5000000,1000000,250000,83000,18d 01:20:00
무기특훈VI-2,5000000,5000000,1000000,250000,83000,18d 01:20:00
무기특훈VI-3,5000000,5000000,1000000,250000,83000,19d 20:40:00
무기특훈VI-4,6000000,6000000,1200000,300000,99000,31d 14:20:00
